open,close,min,max,volume,timestamp
9234.86000000,9231.21000000,9218.67000000,9249.47000000,4752.07995900,1594785600000
9231.20000000,9219.27000000,9188.00000000,9249.98000000,9029.63942600,1594800000000
9219.22000000,9204.98000000,9197.00000000,9248.00000000,9052.52280700,1594814400000
9204.98000000,9185.46000000,9160.57000000,9225.06000000,7123.65483600,1594828800000
9185.46000000,9197.60000000,9179.06000000,9237.27000000,5328.38696600,1594843200000
9197.60000000,9203.59000000,9177.77000000,9226.15000000,4108.30789000,1594857600000
9203.58000000,9123.69000000,9084.00000000,9216.82000000,9646.72491800,1594872000000
9123.69000000,9081.61000000,9047.25000000,9140.00000000,11823.02506100,1594886400000
9081.62000000,9125.26000000,9069.31000000,9130.10000000,7300.77284500,1594900800000
9125.25000000,9126.13000000,9112.09000000,9153.00000000,6225.68609900,1594915200000
9126.13000000,9133.72000000,9091.10000000,9147.90000000,4271.05437800,1594929600000
9133.72000000,9119.81000000,9105.11000000,9142.06000000,3517.68225100,1594944000000
9119.81000000,9109.94000000,9089.81000000,9133.93000000,5161.64198000,1594958400000
9109.94000000,9138.92000000,9095.23000000,9142.07000000,5476.48199500,1594972800000
9138.92000000,9148.37000000,9138.92000000,9186.83000000,6731.78578600,1594987200000
9148.16000000,9164.75000000,9128.00000000,9170.00000000,4468.48070600,1595001600000
9164.74000000,9154.32000000,9144.05000000,9180.00000000,2698.28602300,1595016000000
9154.31000000,9135.02000000,9121.10000000,9168.88000000,4231.56135300,1595030400000
9135.01000000,9132.37000000,9127.73000000,9146.34000000,2582.82007000,1595044800000
9132.36000000,9159.90000000,9123.92000000,9219.30000000,5318.35966100,1595059200000
9159.91000000,9169.57000000,9153.42000000,9175.00000000,3268.61940600,1595073600000
9169.57000000,9163.84000000,9147.92000000,9200.00000000,4760.00695800,1595088000000
9163.85000000,9170.28000000,9156.49000000,9179.29000000,2393.17400900,1595102400000
9170.30000000,9153.41000000,9140.38000000,9180.79000000,2966.98009000,1595116800000
9153.41000000,9154.78000000,9139.27000000,9160.00000000,2742.18717800,1595131200000
9154.79000000,9124.41000000,9101.35000000,9156.20000000,4991.29655800,1595145600000
9124.41000000,9119.89000000,9110.00000000,9136.81000000,3928.93071300,1595160000000
9120.59000000,9165.44000000,9116.31000000,9171.11000000,3969.42152900,1595174400000
9165.45000000,9208.99000000,9153.27000000,9232.27000000,7453.20334900,1595188800000
9208.99000000,9191.99000000,9174.35000000,9221.52000000,4441.37020500,1595203200000
9191.98000000,9180.72000000,9171.22000000,9194.31000000,4427.90456200,1595217600000
9180.72000000,9147.75000000,9131.00000000,9190.00000000,7354.71002500,1595232000000
9147.72000000,9173.75000000,9140.82000000,9179.75000000,6599.64232000,1595246400000
9173.82000000,9158.65000000,9146.43000000,9203.60000000,8088.93138100,1595260800000
9158.64000000,9160.78000000,9141.19000000,9185.00000000,4546.20558900,1595275200000
9160.78000000,9180.83000000,9152.80000000,9195.41000000,4410.68000900,1595289600000
9180.71000000,9315.29000000,9173.34000000,9353.00000000,13292.93070200,1595304000000
9315.28000000,9344.63000000,9302.55000000,9350.00000000,11777.76718000,1595318400000
9344.64000000,9338.00000000,9325.00000000,9437.73000000,18542.83176000,1595332800000
9337.99000000,9354.35000000,9318.35000000,9391.83000000,7781.99251500,1595347200000
9354.35000000,9390.00000000,9352.27000000,9391.25000000,4607.38032000,1595361600000
9390.00000000,9359.06000000,9349.46000000,9392.82000000,5548.74557300,1595376000000
9359.05000000,9302.00000000,9261.00000000,9367.50000000,6870.42762000,1595390400000
9302.00000000,9344.68000000,9291.22000000,9354.58000000,7361.35489900,1595404800000
9344.69000000,9338.14000000,9311.11000000,9354.00000000,7165.50564900,1595419200000
9338.14000000,9373.88000000,9325.27000000,9385.00000000,7731.46279400,1595433600000
9373.88000000,9518.16000000,9360.00000000,9544.00000000,14137.50757200,1595448000000
9518.16000000,9491.99000000,9461.00000000,9533.70000000,7655.65314600,1595462400000
9492.00000000,9491.67000000,9462.00000000,9509.97000000,6316.38252100,1595476800000
9491.66000000,9507.01000000,9480.00000000,9527.00000000,7086.97705300,1595491200000
9507.01000000,9524.99000000,9440.33000000,9585.00000000,12012.34678500,1595505600000
9525.00000000,9595.80000000,9510.67000000,9664.00000000,14813.17374300,1595520000000
9595.67000000,9603.27000000,9567.24000000,9610.00000000,3971.70025200,1595534400000
9603.27000000,9561.55000000,9535.75000000,9606.83000000,4632.63587700,1595548800000
9561.59000000,9508.02000000,9463.44000000,9571.04000000,8199.90527300,1595563200000
9508.02000000,9532.09000000,9477.35000000,9560.00000000,7690.76052200,1595577600000
9532.09000000,9551.68000000,9497.44000000,9566.38000000,8578.33453100,1595592000000
9551.69000000,9581.76000000,9520.00000000,9589.00000000,7020.38379500,1595606400000
9581.76000000,9537.80000000,9513.00000000,9637.00000000,7809.11620700,1595620800000
9538.10000000,9581.58000000,9513.00000000,9623.51000000,6268.25328500,1595635200000
9581.59000000,9568.50000000,9564.82000000,9624.13000000,5303.68371700,1595649600000
9568.50000000,9574.29000000,9559.84000000,9606.90000000,5146.44930500,1595664000000
9574.29000000,9593.19000000,9552.29000000,9610.92000000,5699.83041300,1595678400000
9593.20000000,9674.14000000,9573.61000000,9708.81000000,10615.83784300,1595692800000
9674.14000000,9700.42000000,9668.88000000,9732.90000000,7645.49085300,1595707200000
9700.42000000,9677.69000000,9650.00000000,9704.08000000,5273.08021400,1595721600000
9677.69000000,9716.54000000,9660.35000000,9736.00000000,5768.99392100,1595736000000
9716.53000000,9970.87000000,9702.97000000,10111.00000000,28294.51483100,1595750400000
9970.86000000,9961.83000000,9810.50000000,9990.00000000,12662.02407900,1595764800000
9961.83000000,9866.00000000,9845.20000000,9988.00000000,7740.40347100,1595779200000
9866.00000000,9931.54000000,9840.90000000,9940.00000000,5540.25280300,1595793600000
9931.54000000,10248.84000000,9917.21000000,10315.00000000,21816.24701300,1595808000000
10248.85000000,10157.95000000,10138.86000000,10319.89000000,17685.89593500,1595822400000
10157.95000000,10255.92000000,10120.00000000,10328.00000000,16274.21662700,1595836800000
